group,mz,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ctrl1,73.029440958246,0.9534111487067018,0.9730521927934572,0.9205949996722148,0.959735254545428,0.9322564895577916,0.9873178163121792,0.981346840877809,0.9480853121077778,0.9765299878057906,0.9627779923672448,0.99826958044224,0.956084442670471,0.9833526582674076,0.953089185950138,0.9799478872546944,0.9202721563785424,0.9733524590971872,0.952927826967154,0.9388822081093914,0.9943732117074608
ctrl1,158.92493009626,0.9374053860184636,0.9516456381953812,0.9527051580501524,0.933846854456528,0.9388770759191196,0.9560070862997572,0.9463131872744296,0.966008870821661,0.9575968772559704,0.972435264983512,0.9345154094235508,0.954696496098153,0.959973339475096,0.9545045537224028,0.945914022390852,0.9502173806360504,0.9480667631786124,0.9516757463762864,0.9490725869301696,0.9597629095920164
ctrl1,165.01921451412,0.9927541233608984,0.9946010794677728,0.937326849369435,0.9455076145662006,0.9757777857464472,0.9736089910002188,0.9718918727339192,0.9634245813472254,0.9809656349623356,0.9429655298296976,0.9033556949978928,0.985086903252205,0.9332540619535088,0.9645357910437492,0.9895539525123728,0.9870112658298804,0.977051550698171,0.9891400131619354,0.9729851568229082,0.9747704788633128
ctrl1,176.05947424159,0.9581390596563696,0.9865294185817172,0.9300788374369736,0.9887945838585096,0.9715019240531998,0.9776522514473692,0.9811288103341012,0.997014029406716,0.9714439625851666,0.9538260893938072,0.9883242928016072,0.988524589219602,0.9846005523853512,0.9951058604839071,0.978149547894423,0.9776031141537712,0.9863306128834594,0.9528319408150197,0.9836119895586468,0.9954992635910525
ctrl1,176.93578236842,0.9808996338224304,0.9600239103237616,0.9900945470614192,0.9345427754994924,0.97966975321416,0.9559464174745432,0.9531148973802064,0.9738799657934544,0.9768609890857076,0.9554435645074004,0.9419727212046544,0.9765566716213816,0.9709700890722416,0.986674651509112,0.9434001936626584,0.9881874727832272,0.9870916131405972,0.9961319290587868,0.9560324295184842,0.9570418680022752
ctrl1,177.05702478979,0.9718864827594822,0.9895288975054488,0.9779717814183612,0.9881619917362492,0.9828896603779272,0.9871929009604442,0.9952928842985492,0.993117480057252,0.9671039287291404,0.9307869186584736,0.9871638495104414,0.9863104921799266,0.9898654366911854,0.9835997326549972,0.98971221885492,0.9785659325163792,0.9852457788070108,0.9600611257502548,0.9926913486498464,0.9894953361961476
ctrl1,178.85525464349,0.9538682964388012,0.9570272257475037,0.9145600459866008,0.9691921013479065,0.9405106007839428,0.99244597355311,0.9433653963568316,0.9775525215617016,0.9687226308721713,0.9897809428900728,0.9827596193397038,0.9624048048622008,0.9901756381940554,0.9516195110586604,0.9877825532544986,0.9634839501530392,0.9710334296010344,0.9673895100586296,0.9497585572812064,0.983662078588994
ctrl1,196.88046305687,0.9458299054827266,0.9286519908477692,0.9022681175553492,0.9552540874810406,0.9456760746572894,0.9034895659662948,0.9308547606448904,0.9283118021733446,0.965521858662394,0.988911792750647,0.9364264895087596,0.9431697405681828,0.9307330727614902,0.9226113109853809,0.9386259423805746,0.9238231701270638,0.931173931379878,0.946036974903428,0.9489949799060888,0.9397267701992628
ctrl1,198.91682025811,0.9617876819976658,0.9445124757290104,0.9325368223071582,0.918851950672368,0.9568100038177296,0.9747461137709186,0.9246866988135998,0.968620569436922,0.9616076489876232,0.9496734777876736,0.92288183593664,0.9616367263280468,0.9652046981427188,0.935203071738254,0.9530160066087028,0.938930568935597,0.9531824449036064,0.9641799360265868,0.9728278768874006,0.9796540751954708
ctrl1,221.1545221053,0.926309752162403,0.9579705220294044,0.9200477210540192,0.9532445278690508,0.91907607598834,0.9197339799512756,0.90083937153552,0.9073354732990132,0.9319754740253412,0.9623507399508568,0.9349960000137192,0.9225192985562798,0.9345537302954776,0.9566640731413392,0.9625963394011788,0.9300578456556928,0.9399564865464408,0.9354882253723878,0.9608161158781844,0.9377928264873436
ctrl1,223.02673330558,0.9615214499418532,0.9711968959869276,0.9468171366818972,0.9872201790171836,0.9708751257805268,0.9744988571955536,0.9877868644532024,0.9485491113602008,0.9698752502286552,0.9880244394623818,0.9612657385513772,0.988290759158466,0.984875727081983,0.9900497535430488,0.9910862107086283,0.9543862660779044,0.9775669336799966,0.9660887458419704,0.9270461592981916,0.9913708783767532
ctrl1,231.02746798817,0.9929877762349528,0.9877553460872268,0.993494793693127,0.9895994739792368,0.9848564418524248,0.9783522328715496,0.987378434997052,0.9953008078538385,0.9831743110996168,0.947363290677802,0.994100884004696,0.9943216202202896,0.9907595171244554,0.9961027374427182,0.9904302763617988,0.9903027878800216,0.9923871113552796,0.9943653807019412,0.9894883878896072,0.9919589609497016
ctrl1,248.07014470253,0.9824686392753044,0.9823832221950758,0.961499298981278,0.9612278436166556,0.9995752813094736,0.9818061235067532,0.9911798182648316,0.9523160759919048,0.9749231657045055,0.909692016948046,0.9897493491395412,0.9880570125630496,0.993352758195648,0.9980650190186966,0.990429053199792,0.9937963792236014,0.9830755851272592,0.9689602348313462,0.9826473269355416,0.9777713767328474
ctrl1,249.18523701198,0.9015956868578257,0.9811513273870244,0.9182123222327684,0.9271470843195008,0.9313454139911828,0.9669158342663678,0.9647419069930138,0.95222545180563,0.9353555153310956,0.9544284259032488,0.9482490754369002,0.9176556523060536,0.9744165825866244,0.9201515508665647,0.9288790240181672,0.91571557920654,0.9361302447388092,0.9186442924303716,0.9431767449369046,0.9952954158285284
ctrl1,251.20052794973,0.9462185021242188,0.9896646386039828,0.9480423372240384,0.9363327691912244,0.938891713703881,0.962726581080134,0.9873112373610872,0.9295185234357232,0.957989530376417,0.979083642498946,0.9649556291312368,0.9530081874198728,0.9419894932762728,0.9664446956430026,0.9312725796939546,0.966770088458106,0.96801963839075,0.95298676353208,0.9633111176873492,0.9907460531529318
ctrl1,253.21692413866,0.9291360694105804,0.9520163634083614,0.922072080835186,0.9528955341074424,0.9239839391637394,0.9539775942261608,0.9468602052001562,0.9516789199261996,0.929298725450356,0.9550224205172572,0.95356503943585,0.9250323104085088,0.9524271045278678,0.9288450758393462,0.9493716070206912,0.9183979873629736,0.9381719746306127,0.9429498855178352,0.9346438088074164,0.9438184912580307
ctrl1,263.20060388181,0.9479040884336816,0.9825971016545418,0.9692022575381688,0.936699659803894,0.9736888998061172,0.9961116518066888,0.9611519829346756,0.9812866164022678,0.9596795535118294,0.946135260624125,0.99230187318629,0.9769763329554768,0.9969562666116308,0.97824902178383,0.963275857190302,0.9710515167427248,0.932728295623757,0.9443347378946024,0.9892192786816628,0.9647800363884608
ctrl1,267.23180893663,0.9329548144710426,0.9634011885167169,0.9757779823030333,0.9472671896596138,0.944516816687897,0.9588110387478384,0.9291818092170664,0.939278951524914,0.9426231392472856,0.9480032081449682,0.956989507800165,0.958129439549625,0.9576751379278604,0.9568344016479744,0.9406516583337536,0.959644062045284,0.9648879603084404,0.9414272930582864,0.9372465464768962,0.9491507374054152
ctrl1,277.2172366366,0.982275139209792,0.9874994735666104,0.9828975870106634,0.9819897493234724,0.9744790396087424,0.9916384399450048,0.981323771302102,0.9921349371597163,0.9672088362741696,0.9546138023547408,0.9925730166374706,0.9772997071547068,0.9886692261826516,0.9756477633331978,0.983384418363002,0.977133576441999,0.9818712281020824,0.9859594131593092,0.9923656499862602,0.9860432366216508
ctrl1,278.22118958497,0.9823987302314948,0.9904817454425008,0.9765510777499458,0.9769647722282324,0.9820197946903358,0.993491046027641,0.989604372550694,0.9935152419606658,0.9737109744658689,0.9648284708668292,0.9931211796358842,0.990309054015972,0.9925926739477772,0.9836604131138302,0.9871920309413658,0.976336726876466,0.9909358075125568,0.986963609044258,0.9911263297651052,0.9913970452845996
ctrl1,278.87159452296,0.9140279207504314,0.96610032075389,0.9760499214514312,0.9150107560229872,0.9461752563118996,0.9488481418524544,0.9489030586486292,0.9641327768448912,0.9624282218230727,0.9943604038133412,0.9465994001793044,0.953791790490186,0.9655572680014493,0.9490430906460904,0.9446265340252626,0.9464448033556108,0.9573456849781562,0.936158161937692,0.9481117523688444,0.970992949352792
ctrl1,289.03460129754,0.9860622733046756,0.989972215526846,0.9854028232230504,0.9738393643795732,0.9859624405684893,0.9957503552342788,0.9931125874770323,0.9802384227953426,0.9865798219425064,0.9902097360275942,0.9926846115817388,0.9978503045410088,0.9954833644599664,0.9920239264972558,0.9812201480375202,0.9995950806505648,0.996429298540238,0.993521726686034,0.9954874389495674,0.9928408601111212
ctrl1,324.28939250243,0.9693630335260144,0.9864378974915996,0.9121506385469648,0.9607231895715884,0.9932207537020044,0.9821547642671236,0.9812298265232772,0.997037386824076,0.9471017504354096,0.9002757808438294,0.9946283343348942,0.9993397032636884,0.9774388615450672,0.9486210072326454,0.9682897518790742,0.9669406056958708,0.9767875218948742,0.9535306579959164,0.9166922359150248,0.989316472465302
ctrl1,393.24039950066,0.9816474230120948,0.9897289556770444,0.964819553098358,0.9794670831813596,0.9768172493232676,0.9804508173476748,0.9847722334962882,0.9771647860237233,0.9876381136889412,0.9764222538227698,0.9707895654048908,0.9703627960752308,0.9821433740674168,0.9557783052407364,0.9840320349758866,0.9601460906642312,0.988306624255397,0.9888365890147276,0.9748934513603336,0.9751918333993383
ctrl1,394.24444121472,0.967941599576974,0.9859592182868492,0.9814844570529436,0.9804540213431168,0.9733124695706716,0.9898194515334686,0.9893334354398852,0.9797766751738688,0.9909770674682308,0.9620438007924008,0.9704662234653456,0.9784205737634774,0.9818153071002972,0.9351786889198191,0.9765503755152972,0.9455310614957988,0.9768072831148196,0.9710459356996736,0.9659050975428782,0.9471502395374496
ctrl1,416.22920276165,0.9328120158224892,0.9680399336810154,0.943596512378557,0.9287242708281184,0.935203140791661,0.956455736506874,0.9557341239956716,0.9536500464620586,0.968612101511504,0.981938730863397,0.9401543720316948,0.9278189816302932,0.9478886362175052,0.9162664657177813,0.9589704895286262,0.9161524145961312,0.9612871201299136,0.9471869968660844,0.9429718566095092,0.942000204545901
ctrl1,433.23531812981,0.9130372343329628,0.989197794973647,0.9448810760929236,0.973729566025212,0.9569499560456992,0.9935663330835924,0.9895778410971132,0.9793413888309026,0.9815503663682358,0.963833909403821,0.9867568885276572,0.975824879076174,0.9880007987548468,0.9643052568359204,0.982498240963412,0.967252145478138,0.9763158006690996,0.9072956039465224,0.9704966158101496,0.9745070762546596
ctrl1,443.25313578602,0.9393341939121193,0.9831778441576678,0.9666502917994771,0.949646990490226,0.9674698435307738,0.966670153037532,0.9802603617859502,0.9706018863246996,0.9856220132882684,0.9607979559733726,0.9759194127467766,0.9639954097039786,0.9751568981628576,0.9515643673771624,0.9732611939819716,0.9566928099314695,0.9769812427445554,0.9470192329766812,0.9733197032830124,0.963873781483062
ctrl1,459.27354316006,0.9733710016722268,0.9864991521732012,0.9639621225668288,0.9693721930607068,0.9750048212162196,0.9746753615789244,0.9851922901714986,0.9866081818099612,0.9910878278848684,0.9708583848066694,0.9552385342513352,0.984715249537898,0.9825865715944656,0.9707652882315748,0.9855356426611284,0.9674332724350412,0.988822711017067,0.9823238514831876,0.9744315234125116,0.9614617184612232
ctrl1,461.28726488296,0.9769519202770088,0.9865113813483825,0.9464249472418148,0.9657236621295032,0.9747255978665668,0.988853156096291,0.9771238862826436,0.983091011422685,0.989403010132494,0.9719084888360954,0.9564094836150658,0.9741433736132932,0.9752549542473448,0.968336838863614,0.9737777781825544,0.9771253319001872,0.9870715460025028,0.980591878466287,0.9777442318108412,0.978784678030812
ctrl1,480.27120101397,0.9821041152644284,0.9845770926283456,0.9847490721051018,0.9853576530249564,0.9847093752185944,0.9921391966646272,0.993430590181426,0.993338948011795,0.974634030525134,0.9481323265554128,0.982668246085065,0.9799374756347896,0.9885523789062252,0.9716003228226888,0.9889753584736156,0.9757782588225656,0.9939311640592962,0.987760080462453,0.9912239257749343,0.9837870618204916
ctrl1,503.26451362708,0.9884989295804512,0.9896191993761372,0.9905844561929792,0.986379897680214,0.9905200745555504,0.9878734598023176,0.99361031553539,0.9960979435499854,0.9754127136298328,0.948324554030492,0.988036747913191,0.989342776316292,0.9900642845097596,0.985442182149828,0.9909025762848188,0.9880304785636064,0.995329571154263,0.9905447406031836,0.9958517978681928,0.9898468911661026
ctrl1,504.26952758518,0.9810250666940544,0.9894234663061536,0.9858701435901002,0.9859444451306496,0.9801358429115488,0.9887940933328542,0.992624882896828,0.9928867135869764,0.9841133694752804,0.9635380996175636,0.984726858404495,0.9783700033970466,0.989899497037574,0.964949964090542,0.9932896777113772,0.9720300006718012,0.9914456888369756,0.9790999305141916,0.9950212239795376,0.9883204981535764
ctrl1,578.28439320962,0.9507847642314332,0.9913565607120464,0.9805107254362648,0.951989853486324,0.9692870024560292,0.9740023569661788,0.9848700928779686,0.9755406259254206,0.9358816349017604,0.9280054632433596,0.9890413533590876,0.9700308544184316,0.9873846532752728,0.9629098947861264,0.9844097134999252,0.9423884795581698,0.9848264455879734,0.9507499821051172,0.981310826804523,0.9827864480668717
ctrl1,669.44274619687,0.9095498196443048,0.978689589343831,0.9898701276324328,0.9185178717458974,0.949052371881446,0.982953696530722,0.9782806853150624,0.9810221206003475,0.9818132182209576,0.973233911026994,0.9516712688412085,0.9650280250666716,0.9825878638411925,0.951570688403264,0.9747391578551224,0.9358739644978554,0.971903312499322,0.9126795896588548,0.9888612021147511,0.9835877034980876
ctrl1,671.46415998698,0.9796074311272016,0.9802976112874778,0.9693935860326066,0.9767731236535288,0.9749219289085091,0.9762149454772416,0.9833630165366728,0.98620191019145,0.9778522111918114,0.969233316798464,0.9789552477107184,0.9723665606249134,0.9772167338958336,0.958399140148924,0.9821092425291652,0.9640786047289616,0.9871954403173264,0.9874068574018684,0.981604436111718,0.9724919153859368
ctrl1,672.46874873485,0.9783897784944392,0.9780336615412912,0.9828044360146256,0.976164026564249,0.974231337110306,0.983235071816401,0.9827837050859682,0.9825330849689222,0.9755047341817884,0.962467567817478,0.974677611180266,0.9764779388637526,0.9763412390804702,0.9549122684624278,0.9832437768036556,0.966296940544202,0.9915545584473208,0.9838661930068534,0.979922487261253,0.97648282832492
ctrl1,714.50899386431,0.9708604441321588,0.968141265772153,0.9577205933536606,0.9727606694996548,0.972925311744231,0.9691558952230014,0.9819525094822484,0.9800147989980544,0.9811478196769202,0.9589488038269272,0.9593159255113488,0.9647936403685028,0.9657608104920612,0.9434171042815824,0.9753092753355598,0.957508824551367,0.9749559705676828,0.9771492779549124,0.9794333952465544,0.9569917470425624
ctrl1,715.51000608975,0.9602813848913933,0.9720269096424532,0.9187397373140136,0.9519208829328673,0.96420393743665,0.9710740134927978,0.9846959974208884,0.9515146135034566,0.9704784588996104,0.9705824519205504,0.9531743460604748,0.9698922344905198,0.9649382268093646,0.9506425092174504,0.9773326155710595,0.9549471439827198,0.9704491420860374,0.959536594224894,0.9862572546871904,0.9731080589015332
ctrl1,744.49083927447,0.9880635192875972,0.9965340316314878,0.980326887118621,0.9962498099489469,0.99083540820988,0.9991667967551106,0.9976890665216346,0.9999788127307756,0.9739572171618792,0.9288410592763242,0.985616269053094,0.9969334851735556,0.9929366486571904,0.9887493072628092,0.9971640363913306,0.9895423645711918,0.99207690752701,0.9876106043873192,0.999456662472842,0.9972138077128452
ctrl1,761.51169262237,0.9874016754463708,0.9913674290783112,0.9768486784312002,0.9737698885927536,0.9929416813681146,0.9870055976114238,0.9895225958274336,0.9913969922868976,0.9796493411460278,0.9000721383282354,0.9837938466376416,0.9871597003893492,0.9834443787763704,0.9677538277563656,0.9888386287592628,0.979740488813954,0.986184007525838,0.97946897947969,0.9834766792570412,0.9914410938671988
ctrl1,833.51812258925,0.9753833978681756,0.9783301162405668,0.9811429004894248,0.97148500100575,0.9639206049636132,0.9819176032807024,0.9804884143984612,0.9847844334120368,0.9715951236258472,0.959485279662172,0.9722161342141704,0.963192261870178,0.9779251486238236,0.9465512962311065,0.9851981641220144,0.9549941711904426,0.9842193904651538,0.982271258798712,0.9809354304679871,0.9686189770362732
ctrl2,88.040548830115,0.9377692515333794,0.9720582692007128,0.9706240457338376,0.972028754354044,0.976487077929884,0.9712377902974804,0.9714073582592648,0.9585286198177908,0.9944510367713106,0.9609818576765784,0.907524344596618,0.9684239168163806,0.9835590540327284,0.9678998581529932,0.960109923376398,0.9675950803088929,0.9415472764109348,0.9297880626622804,0.9714719577092328,0.962204774629258
ctrl2,132.03038978111,0.9412500038519356,0.9703971028144182,0.974097408540239,0.9672975482068836,0.9729772378868262,0.9643818366183708,0.968502555758004,0.9629720878718734,0.9927817408197946,0.9597197612284792,0.90165244011081,0.9633490632223196,0.9817430351987494,0.9739105263614636,0.9621962094722076,0.9623492049803866,0.9582909141176504,0.9447100966285156,0.9694814119302082,0.941389214168687
ctrl2,177.05702478979,0.9300763107765744,0.9863439773351116,0.9790999931100424,0.985952590276588,0.9727227882123008,0.986733438019676,0.9747213145512772,0.9867798991817752,0.989264586484924,0.9897857458909648,0.9878304782390032,0.9832642485340242,0.9453698368135632,0.9744271409219846,0.960193225030382,0.9758117744768732,0.9872469420534143,0.9880579809553168,0.9752836607241594,0.9806088369685289
ctrl2,249.07811049141,0.9204209151959244,0.9344786470420504,0.9201366569562336,0.9625810675412954,0.9372957569074558,0.9581854862757893,0.9429154461271266,0.9681145773136198,0.9726241600484477,0.9263337683297456,0.9774647461110852,0.944757817736916,0.9122707680711686,0.9678342485446176,0.9377701087741422,0.9656696194008816,0.9051543346259584,0.9807850327063168,0.925628939212204,0.9411766141875286
ctrl2,277.2172366366,0.9630441193467856,0.9885318524385376,0.978964281855004,0.9775875685115716,0.9668804282002098,0.9755282852960844,0.9812581184936336,0.9809955952919868,0.9946722567275544,0.9502985733927666,0.9498770210184534,0.9833911931961118,0.9864905869171428,0.986525233422142,0.9660682683333142,0.9712041511646984,0.975161057283382,0.9705657591704612,0.9693489299771518,0.9281272334564596
ctrl2,278.22118958497,0.9700138607379444,0.991927207053396,0.9846256382162456,0.9637573307932232,0.9836333799851112,0.9946776158932796,0.980980588833698,0.9964750667981044,0.9820308359291944,0.9321016729497468,0.9734252187401244,0.9900003550658082,0.9869212855200808,0.9921935622201216,0.98166270579105,0.9822788580414272,0.9817465929058494,0.995778005390165,0.981133223779026,0.9673902452314348
ctrl2,278.87159452296,0.9737207246664946,0.9645492024598178,0.9788364148357142,0.9413563777447516,0.9718074281561176,0.9782441135547144,0.9717339600112468,0.9606910421738044,0.9746990465668576,0.909484578739734,0.9722215899318832,0.9839479919493136,0.9808394734271384,0.9611080688966752,0.9847399523349294,0.9828022825077672,0.9278251387919668,0.9650876256789496,0.9644175863029368,0.9247827076997952
ctrl2,393.24039950066,0.9611410187832296,0.9925391518414848,0.9802547214387336,0.9407357035762904,0.971339563388211,0.9311208531162962,0.9637331405579128,0.989145365821095,0.940651403371879,0.9581691278471688,0.9831804327092464,0.9774150027699752,0.9802025215522264,0.9699529648039972,0.9753655543317002,0.9607282933865828,0.943416984946808,0.994001080933745,0.9600106384698988,0.972270165868486
ctrl2,421.07504256736,0.933438478825842,0.9877216591577112,0.9918260728812563,0.9783932765960826,0.98099113481075,0.9715533215202008,0.9925765075412885,0.981647198192018,0.9778869109519788,0.923040960251848,0.976821586279428,0.988283789383908,0.988994975993208,0.9879618810127684,0.9719067998074652,0.9918080916724588,0.9798818667926384,0.9849407105277252,0.986035270976609,0.9631270550357416
ctrl2,480.2736023738,0.9575886129137215,0.9809542686281308,0.9686177968494109,0.976432924146752,0.9761254629018944,0.9422400522029528,0.975777776942032,0.9753370986470076,0.9309903615355326,0.9772065753849628,0.9426418783302712,0.9657764383816362,0.9879158144644932,0.9759501589099648,0.9740937006814678,0.9756355649131612,0.9656680380392492,0.9835432297414948,0.965941667490873,0.9715445353012094
ctrl2,503.26451362708,0.9657548663186808,0.9844447109226638,0.985016664737553,0.9728487135524566,0.9916975920463738,0.9616890851908716,0.9934193249924358,0.9809886011940264,0.9442465212632308,0.9892858984502658,0.9697772158892756,0.9640667796143704,0.9824942080209148,0.9858941543717764,0.9753377711689304,0.9867900912782652,0.9592137335573786,0.9837956369113956,0.9844278557208852,0.9806344330632356
ctrl2,671.46415998698,0.968677263084036,0.9863602790128438,0.9771618979672456,0.9571229992109396,0.974100164966112,0.9399388958359016,0.9823160940987938,0.9843357762554436,0.9494655173306272,0.9637368469649942,0.9604237402122234,0.9630339724432656,0.986715990417058,0.9724925147119988,0.9672748309979164,0.9685068521968544,0.9465637651094242,0.9859626891977918,0.966860675617695,0.9649086581003032
ctrl2,672.46874873485,0.9638153515000194,0.9877878644582806,0.9725254303360686,0.9314263154223156,0.9790438068843276,0.9160563182748356,0.9825482534097342,0.9854135996158374,0.9336010063378998,0.9720479897701644,0.9926672227506302,0.942155556485158,0.9798042128762062,0.9728673081692296,0.9714257436193192,0.966967706205078,0.9463378093918468,0.9898308789360712,0.965076008915248,0.9738689365629865
ctrl2,714.50899386431,0.9608309042107906,0.9704575323188476,0.9633951601816052,0.9395092968224426,0.9694957951640868,0.9182441366092678,0.9693816677093164,0.9727643086534296,0.9289398237101294,0.960619800259116,0.9312037739491974,0.9401903855045532,0.9704962012904892,0.9604715833727848,0.9650700497330904,0.9642207113209914,0.932124175938028,0.9721424073226383,0.9770942126080034,0.9500315458215892
